Subscriber_id,Email
SUB000001,neha.modi@outlook.com
SUB000002,mihir.banerjee@yahoo.co.in
SUB000002,mihir.banerjee@hotmail.com
SUB000003,chirag.nair@icloud.com
SUB000004,monal.yadav@live.com
SUB000004,monal.yadav@yahoo.com
SUB000005,rohan.mukherjee@gmail.com
SUB000006,darsh.iyer@icloud.com
SUB000007,ekta.iyer@live.com
SUB000008,trisha.gupta@yahoo.com
SUB000008,trisha.gupta@hotmail.com
SUB000009,sapna.balasubramanian@rediffmail.com
SUB000010,wendy.rajan@outlook.com
SUB000011,mihir.rajan@rediffmail.com
SUB000012,vandana.thakur@yahoo.com
SUB000013,wendy.rajan@yahoo.com
SUB000014,champa.mishra@yahoo.co.in
SUB000015,dilip.sinha@rediffmail.com
SUB000016,swati.gandhi@hotmail.com
SUB000017,lata.venkatesh@rediffmail.com
SUB000017,lata.venkatesh@outlook.com
SUB000018,sarla.chatterjee@icloud.com
SUB000018,sarla.chatterjee@hotmail.com
SUB000019,geeta.jain@yahoo.com
SUB000020,ravi.bhatt@yahoo.co.in
SUB000021,hardik.trivedi@gmail.com
SUB000022,veer.dubey@outlook.com
SUB000023,reyansh.tiwari@outlook.com
SUB000024,zara.jadhav@live.com
SUB000025,hardik.krishnamurthy@live.com
SUB000026,mihir.iyengar@yahoo.com
SUB000027,bharat.das@gmail.com
SUB000028,sejal.yadav@rediffmail.com
SUB000029,nisha.gaikwad@hotmail.com
SUB000030,leela.desai@outlook.com
SUB000031,kamal.rao@yahoo.co.in
SUB000032,beena.das@icloud.com
SUB000032,beenadas121@icloud.com
SUB000033,renu.shah@icloud.com
SUB000034,varsha.iyer@icloud.com
SUB000035,paresh.banerjee@rediffmail.com
SUB000036,ritvik.naik@yahoo.com
SUB000037,arti.pandya@rediffmail.com
SUB000038,yashoda.modi@rediffmail.com
SUB000039,hemant.pillai@yahoo.co.in
SUB000040,manish.gaikwad@rediffmail.com
SUB000041,alpesh.pandya@yahoo.co.in
SUB000042,sapna.pillai@rediffmail.com
SUB000042,sapna.pillai@gmail.com
SUB000043,mahesh.iyer@yahoo.co.in
SUB000043,mahesh.iyer@gmail.com
SUB000044,ananya.iyengar@live.com
SUB000045,riya.gupta@rediffmail.com
SUB000046,ananya.mukherjee@icloud.com
SUB000047,asha.verma@rediffmail.com
SUB000047,asha.verma@live.com
SUB000048,meena.naik@gmail.com
